City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Kaitangata,NZ,-46.2817,169.8464,58.93,77,6,6.22,clear sky
1,Nikolskoye,RU,59.7035,30.7861,35.71,93,100,11.05,overcast clouds
2,Adrar,MR,20.5022,-10.0711,66.4,10,0,9.4,clear sky
3,Andenes,NO,69.3143,16.1194,28.38,74,75,9.22,broken clouds
4,Coruripe,BR,-10.1256,-36.1756,79.81,77,1,11.23,clear sky
5,Severo-Kurilsk,RU,50.6789,156.125,31.41,79,100,11.81,overcast clouds
6,Fairbanks,US,64.8378,-147.7164,-1.39,76,100,0.0,haze
7,Bluff,NZ,-46.6,168.3333,60.8,62,1,11.01,clear sky
8,Hermanus,ZA,-34.4187,19.2345,64.9,95,21,3.29,few clouds
9,Saskylakh,RU,71.9167,114.0833,-23.35,100,97,2.95,overcast clouds
10,Bredasdorp,ZA,-34.5322,20.0403,61.29,91,2,5.73,clear sky
11,East London,ZA,-33.0153,27.9116,72.57,84,49,14.74,scattered clouds
12,Kapaa,US,22.0752,-159.319,78.78,73,100,5.99,overcast clouds
13,Thompson,CA,55.7435,-97.8558,-6.86,93,32,7.29,scattered clouds
14,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,9.22,broken clouds
15,Ketchikan,US,55.3422,-131.6461,46.38,93,100,16.11,light rain
16,Tuktoyaktuk,CA,69.4541,-133.0374,-19.35,98,100,14.38,overcast clouds
17,Kruisfontein,ZA,-34.0033,24.7314,69.89,64,83,2.35,broken clouds
18,Chuy,UY,-33.6971,-53.4616,64.17,59,5,13.96,clear sky
19,Cayenne,GF,4.9333,-52.3333,80.1,86,100,5.01,overcast clouds
20,Deputatskiy,RU,69.3,139.9,-35.43,98,79,5.28,broken clouds
21,Port Hardy,CA,50.6996,-127.4199,49.75,82,100,15.05,overcast clouds
22,Yellowknife,CA,62.456,-114.3525,-1.68,84,75,3.44,light snow
23,Pitimbu,BR,-7.4706,-34.8086,80.1,70,4,12.33,clear sky
24,Baleshwar,IN,21.4942,86.9317,59.99,71,67,2.3,broken clouds
25,Norman Wells,CA,65.282,-126.8329,-10.73,95,100,11.03,overcast clouds
26,Hobart,AU,-42.8794,147.3294,75.02,50,20,1.99,few clouds
27,Ribeira Grande,PT,38.5167,-28.7,61.36,84,11,12.62,few clouds
28,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,73.13,94,100,2.89,overcast clouds
29,Albany,US,42.6001,-73.9662,21.45,74,62,3.65,broken clouds
30,Bud,US,39.447,-86.1758,32.02,80,63,5.08,broken clouds
31,Macamic,CA,48.7502,-78.9996,16.03,96,100,5.03,light snow
32,Maumere,ID,-8.6199,122.2111,82.74,76,14,7.27,few clouds
33,Tiksi,RU,71.6872,128.8694,-16.11,99,100,5.28,overcast clouds
34,Aguimes,ES,27.9054,-15.4461,63.23,68,20,16.11,few clouds
35,Lucapa,AO,-8.4192,20.7447,65.84,97,97,2.66,overcast clouds
36,Cherskiy,RU,68.75,161.3,-29.81,100,23,0.76,few clouds
37,Novoagansk,RU,61.9449,76.6625,-9.0,99,12,6.91,few clouds
38,Saint George,US,37.1041,-113.5841,61.27,18,0,5.01,clear sky
39,Meiktila,MM,20.8667,95.8667,57.9,48,11,1.88,few clouds
40,Busselton,AU,-33.65,115.3333,61.09,61,70,18.79,broken clouds
41,Tuma,RU,55.148,40.5537,18.54,98,94,3.58,overcast clouds
42,Ushuaia,AR,-54.8,-68.3,56.91,90,100,7.34,overcast clouds
43,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,99,13.31,overcast clouds
44,Mataura,NZ,-46.1927,168.8643,60.48,40,6,1.07,clear sky
45,Mudhol,IN,16.35,75.2833,65.12,80,84,4.59,broken clouds
46,Hibbing,US,47.4272,-92.9377,11.8,72,100,9.22,overcast clouds
47,San Policarpo,PH,12.1791,125.5072,81.72,73,62,15.28,broken clouds
48,Torbay,CA,47.6666,-52.7314,13.26,75,20,17.27,few clouds
49,Eureka,US,40.8021,-124.1637,54.12,82,2,3.49,clear sky
50,Butaritari,KI,3.0707,172.7902,82.36,75,51,15.37,light rain
51,Saldanha,ZA,-33.0117,17.9442,63.25,97,20,10.47,few clouds
52,Elizabeth City,US,36.2946,-76.2511,41.02,80,100,11.5,overcast clouds
53,Phek,IN,25.6667,94.5,30.76,98,11,1.68,few clouds
54,Kibaya,TZ,-5.3,36.5667,59.22,97,100,1.86,light rain
55,San Jose,US,37.3394,-121.895,70.86,37,0,1.99,clear sky
56,Vaini,TO,-21.2,-175.2,77.16,94,75,14.97,light intensity drizzle
57,Lebu,CL,-37.6167,-73.65,60.48,88,0,13.73,clear sky
58,Port Lincoln,AU,-34.7333,135.8667,77.85,49,0,16.93,clear sky
59,Sambava,MG,-14.2667,50.1667,75.38,90,88,4.65,overcast clouds
60,Liwale,TZ,-9.7667,37.9333,71.33,82,100,3.76,overcast clouds
61,Chhatak,BD,25.0333,91.6667,52.52,85,0,5.28,clear sky
62,Kavaratti,IN,10.5669,72.642,77.74,68,16,9.84,few clouds
